|E|,Time_elapsed_GM(ns),Time_elapsed_GA(ns)
100,110100,90900
101,106600,92700
102,105300,91000
103,110200,93400
104,110100,95100
105,113300,93800
106,117200,104200
107,117500,100500
108,119300,103300
109,229400,104300
110,125400,103000
111,126600,106000
112,126000,109500
113,129600,105500
114,131500,112800
115,134500,115500
116,136700,118100
117,139800,113900
118,156000,117600
119,142100,117600
120,147500,123300
121,152800,122900
122,148800,126300
123,153900,131000
124,155400,126100
125,159500,132300
126,161700,131900
127,162600,133800
128,168600,131700
129,167400,137300
130,173500,138200
131,173400,145200
132,173800,139600
133,177700,144500
134,182700,145600
135,182100,150100
136,192700,152000
137,190100,158100
138,188900,168500
139,196900,163300
140,198500,165700
141,195300,153400
142,204500,196300
143,203500,210200
144,205000,187500
145,208800,160300
146,211800,173000
147,214400,185300
148,211400,182700
149,218000,178700
150,223900,178400
151,336500,184800
152,239400,290400
153,228600,193700
154,229400,185300
155,230800,193700
156,238400,304400
157,243200,243300
158,234300,199500
159,247800,213800
160,247300,203300
161,346100,208900
162,256400,211600
163,257800,207100
164,257900,221600
165,260600,210600
166,261400,222600
167,284800,216500
168,272600,226700
169,274400,226300
170,277400,226900
171,283300,231700
172,299600,231800
173,292000,237400
174,291400,232400
175,298300,239700
176,306300,237100
177,297800,245400
178,321300,259400
179,307500,247600
180,312400,260400
181,310800,256100
182,314900,257800
183,321700,320800
184,319400,264000
185,325400,264100
186,332600,275300
187,337000,271200
188,328900,274100
189,334100,272700
190,338300,279300
191,345300,275800
192,349400,276200
193,349100,287700
194,354400,291000
195,355300,283800
196,357500,298000
197,370500,294500
198,373300,300000
199,369300,340100
200,381400,303400
201,392800,305000
202,392400,318000
203,381300,310500
204,394000,314100
205,390500,318100
206,398100,308800
207,395000,325300
208,403200,325700
209,406100,337300
210,411600,340300
211,423300,352300
212,429000,351900
213,440600,335400
214,430400,347600
215,441900,351900
216,431000,349000
217,533400,366000
218,440500,372800
219,446500,360300
220,448900,364700
221,462000,356900
222,465200,376600
223,459300,381100
224,462000,380400
225,463600,369600
226,581700,398800
227,479600,382400
228,546700,406900
229,479400,395600
230,479800,391200
231,500900,396400
232,493600,412600
233,499100,411100
234,491200,424100
235,505800,417100
236,503800,425800
237,506600,417100
238,519400,419500
239,518600,428400
240,531800,433300
241,539700,442800
242,525400,427100
243,533700,428300
244,553800,447400
245,540600,465400
246,548200,455500
247,572300,463300
248,553800,462700
249,558100,476400
250,565900,466500
251,589500,461200
252,586400,475000
253,576500,486100
254,583700,490300
255,597200,483100
256,590300,485600
257,600300,477800
258,621500,578100
259,616900,493700
260,604300,506900
261,720200,500500
262,626800,502700
263,637400,501000
264,631700,511700
265,637900,515600
266,636000,521600
267,644300,565300
268,655500,528600
269,650000,538900
270,652100,546600
271,670000,561000
272,670000,543000
273,675800,553000
274,684400,549400
275,691800,563100
276,687300,570700
277,685400,579100
278,707300,576800
279,687100,592200
280,705900,583200
281,712400,595600
282,714700,596000
283,734900,605600
284,719100,604800
285,736200,608800
286,752200,616800
287,745700,605300
288,763100,615200
289,745900,623500
290,751500,601200
291,757600,642600
292,767800,698700
293,764500,636900
294,781000,657000
295,773000,643600
296,799200,663600
297,778500,664600
298,787300,653000
299,797600,680700
300,815100,653600
301,800700,681400
302,825500,674300
303,829900,679300
304,825000,696800
305,835200,693000
306,840100,820700
307,831700,689600
308,855300,721800
309,845500,707700
310,876200,700700
311,861600,712300
312,880600,736800
313,865100,737500
314,875200,726200
315,874700,755600
316,881400,762300
317,891500,729000
318,900200,735100
319,913400,760700
320,930100,788800
321,912800,771100
322,920500,759600
323,907400,768800
324,927300,780400
325,942400,787300
326,946000,773300
327,941600,788000
328,952400,792400
329,940500,812600
330,960900,824400
331,953800,809300
332,1001400,818700
333,1071800,811100
334,985500,815300
335,967300,808500
336,985200,829300
337,1002000,845400
338,993300,839600
339,1122400,844300
340,1023900,889500
341,1007500,872400
342,1028600,1004400
343,1038800,854000
344,1053600,850700
345,1073600,877500
346,1043700,886500
347,1060500,906000
348,1063000,919300
349,1071000,900500
350,1087400,937800
351,1246600,901400
352,1099900,947500
353,1098000,931600
354,1073300,958400
355,1197600,933200
356,1110500,973600
357,1144600,975900
358,1117200,975300
359,1109300,957700
360,1118300,968100
361,1120600,992800
362,1135300,979200
363,1144600,1031000
364,1152300,984600
365,1155400,1049100
366,1159200,1041200
367,1178800,1078400
368,1186600,1040700
369,1273500,1060600
370,1216200,1070600
371,1282700,1010400
372,1217900,1046500
373,1293900,1026000
374,1216200,1042700
375,1313700,1041400
376,1251700,1097700
377,1311900,1207200
378,1261800,1076300
379,1249900,1098700
380,1275100,1070000
381,1261800,1080300
382,1295000,1339000
383,1272800,1465000
384,1308400,1119100
385,1289400,1163500
386,1341600,1133100
387,1297000,1500800
388,1333000,2074700
389,1313700,1144500
390,1323200,1145700
391,1318400,1187500
392,1366100,1246600
393,1343600,1134200
394,1348100,1171300
395,1377900,1217200
396,1381000,1394300
397,1560400,1566300
398,1366600,1413100
399,1374200,1208100
400,1385900,1216800
401,1374800,1242200
402,1385600,1201700
403,1382100,1195200
404,1398700,1343500
405,1405500,1282800
406,1424900,1320900
407,1421300,1263300
408,1460500,1277500
409,1426100,1300200
410,1461400,1258500
411,1459900,1282800
412,1456000,1280100
413,1464300,1362100
414,1490800,1249000
415,1490400,1307100
416,1509900,1263500
417,1502800,1349500
418,1503700,1329400
419,1503600,1304000
420,1533300,1356800
421,1536100,1309000
422,1536500,1359000
423,1539200,1376200
424,1564600,1435500
425,1527500,1348100
426,1561900,1341800
427,1613600,1377000
428,1594100,1471700
429,1581700,1402400
430,1594300,1401800
431,1634900,1441900
432,1622700,1517500
433,1616300,1417900
434,1624800,1441300
435,1715100,1408000
436,1661200,1485100
437,1650100,1445900
438,1751200,1456700
439,1663300,1468800
440,1709800,1474100
441,1663300,1438400
442,1712300,1467700
443,1700500,1728000
444,1711800,1587700
445,1689300,1623900
446,1815100,1526500
447,1712100,1511500
448,1733000,1737300
449,1723100,1841400
450,1825000,1730600
451,1748300,1737400
452,2755500,1520800
453,2053300,1563100
454,1730800,1605400
455,1755400,1556500
456,1822200,1592600
457,1804800,1583900
458,1777200,1573600
459,1792100,1609500
460,2057200,1566300
461,1813900,1598400
462,1831300,1598400
463,1810900,1631100
464,1848800,1600800
465,1864000,1608900
466,1873900,1593800
467,1872600,1638100
468,1892200,1646300
469,1869500,1666200
470,1901100,1782700
471,1886400,1680600
472,1905900,1685500
473,1910300,1666400
474,2031100,1703100
475,2131400,1939500
476,2089400,1727300
477,2093600,1737900
478,1933200,1938900
479,1992300,1705500
480,2076900,1771500
481,2109900,2681700
482,2024500,1858300
483,2013200,2728400
484,2074700,1725600
485,2003400,1830900
486,2145700,1848500
487,2038900,1793100
488,2027900,1792100
489,2246100,2149300
490,2161600,1848300
491,2352000,1845100
492,2214300,1864100
493,2057200,1819800
494,2087800,1869500
495,2098600,1822700
496,2084600,1882500
497,2102700,1884500
498,2097000,1909100
499,2117100,1935700
500,2109200,1940400
